userName,score,at,content,Aspek_Audio_Fitur,Aspek_Performa_Sistem,Aspek_Harga_Layanan,Sentimen,clean_teks
wong ambarawa,5,2025-03-25 07:40:36,terbaik.. JD BS puter di iPhone dan andro,0,0,1,1,baik jadi bs putar iphone andro
reza rafid2003,5,2025-03-24 00:19:24,"mengapa Apple musik saya tidak mengeluarkan suara , saya sudah berlangganan",1,0,1,1,apple musik tidak keluar suara sudah langgan
nrvqx,4,2025-03-23 19:23:34,very very good,0,0,0,1,very very good
Husni Faiq Solichin,1,2025-03-22 18:42:19,buggy,0,1,0,0,buggy
Rafly,3,2025-03-22 18:41:21,"sebenarnya udah bagus, cuma sayangnya sering error, musiknya berhenti tengah jalan, dan soal pembelian paket, ayolah Apple, masa harus langganan habis dulu kalau mau gabung family",1,1,1,0,benar bagus cuma sayang sering rusak musik henti tengah jalan soal beli paket ayo apple masa langgan habis dulu kalau mau gabung family
Angga Fajar Pratama,5,2025-03-22 16:28:10,best music app,0,0,0,1,best music aplikasi
Pengguna Google,1,2025-03-22 06:07:42,"Yaallah tolong kembalikan uang saya, tiba2 ketarik otomatis di akun DANA saya senilai 61,050,00, itu sepertinya tidak sengaja keepncet fitur langganan nya, saya mohon kembalikan uang saya, saya sangat membutuhkannya",0,0,1,0,yaallah kembali uang tiba tarik otomatis akun dana nila seperti sengaja keepncet fitur langgan nya mohon kembali uang saya sangat butuh
RealCyberX,1,2025-03-20 14:48:56,"menyesal pernah berlangganan di aplikasi ini, bug yang tidak bisa memutar lagu sangatlah mengganggu",1,1,1,0,sesal pernah langgan aplikasi rusak tidak putar lagu sangat ganggu
vega sesudah makan,5,2025-03-20 09:01:13,bagus banget tampilannya lagunya jg lumayan lengkap,1,1,0,1,bagus banget tampil lagu lumayan lengkap
이것 라파?,2,2025-03-18 23:36:23,gj downloadan suka tb² ga bisa di puter,0,0,0,0,gj downloadan suka tb bisa putar
Arya maulana,5,2025-03-17 21:23:09,"Untuk versi desktop windows masih belum dapat berfungsi, lagu lagu bya tidak muncul. Sedangkan di versi web, terkadang lagu yang diputar berhenti sendiri tanpa adanya gangguan sinyal",1,1,0,1,versi desktop windows belum fungsi lagu lagu bya muncul di versi web terkadang lagu putar henti sendiri ada ganggu sinyal
Alkho syirin,4,2025-03-16 04:40:52,oke aja,0,0,0,1,oke aja
ibas Qoiril zikri,5,2025-03-12 20:12:03,aplikasi streaming musik yg paling bagus di antara yg lain cuman sayang harus premium,1,1,1,1,aplikasi streaming musik yg paling bagus antara yg cuma sayang premium
Roy Lim林龍帝,1,2025-03-11 12:54:12,"Wajib bayar, gak ada versi gratis nya.",0,0,1,0,wajib bayar ada versi gratis nya
Hammam,1,2025-03-10 05:46:56,fix ur damn app ASAP!!! sering ngebug gak mau play lagu,1,1,0,0,fix ur damn aplikasi asap sering rusak mau play lagu
Fungky Aditya chandra,2,2025-03-06 09:05:10,"selalu FC Mulu kalau pake ini, KL lainnya tidak, padahal aku suka dengan fiturnya. btw, hpku Poco x6 pro. semenjak hyoer os 2 selalu fc",0,0,0,0,selalu keluar sendiri mulu kalau pake kl lain padahal suka fiturnya btw hpku poco x pro semenjak hyoer os selalu keluar sendiri
Nero Claudius,5,2025-03-06 00:56:02,enak juga,0,0,0,1,enak
Dicky Burhansyah,3,2025-03-06 00:29:36,It took couple of times for me to log in to my apple music account. please fix it,0,1,0,0,it took couple of times for me to log in to my apple music account please fix it
Revandra Jenova,5,2025-03-05 04:28:25,good,0,0,0,1,good
itsdindaa,1,2025-03-04 22:04:38,harus pake pelanggan dulu??? dahal dah bayar tapi kok masi disuruh tagih anj,0,0,1,0,pake langgan dulu dahal dah bayar kok mas suruh tagih anj
Arafa Irawan,1,2025-03-03 20:43:39,"Aplikasi gjls, masuk akun aja smpe setengah jam",0,1,0,0,aplikasi jelas masuk akun aja smpe tengah jam
Suparman Okamran,5,2025-02-28 03:17:56,Good mood for listening to every music in this world.,0,0,0,1,good mood for listening to every music in this world
Imam Ramaputra,5,2025-02-27 08:45:25,"bagus bgt bjirrr, ui-nya simple bgt + enak dipandang, kualitas audio bagus bgtt, untuk liriknya itu mengikuti apa yang diucapin sama penyanyi (g sama kyak apk sebelah). pokokny bagus bgtttt bjirrrrr",1,0,0,1,bagus banget bjirrr uinya simple banget enak pandang kualitas audio bagus bgtt lirik ikut apa diucapin sama nyanyi g sama kyak aplikasi belah pokokny bagus bgtttt bjirrrrr
Muhammad Wildan Afkar Mafaza,2,2025-02-26 00:42:59,Kadang gak bisa muter musik nya 🥲,1,1,0,0,kadang bisa muter musik nya
ajis shava,4,2025-02-25 15:38:46,Coba dulu,0,0,0,1,coba dulu
Dava Sergeyevich Pratama,5,2025-02-24 11:28:21,mantap,0,0,0,1,bagus
17_I Nyoman Trynayana Nugraha,5,2025-02-22 10:05:07,"Untuk saat ini bagus, karena saya ada langganan gratis sebulan. Suara jernih, tidak ada kendala force close. Walau terkadang musik mati sendiri. Nanti setelah langganan habis, saya akan kembali",1,1,1,1,saat bagus langgan gratis bulan suara jernih ada kendala keluar sendiri terkadang musik mati sendiri telah langgan habis saya akan
Ansha Shaaa,3,2025-02-21 22:08:56,"Musicnya ga bissa di putar padahal sinyalnya bagus, ga ngelag",1,1,0,0,musicnya bissa putar padahal sinyal bagus lambat
Haydar Abrar 2,1,2025-02-21 19:42:41,"udah berbayar, ngebug parah lagi. playlist saya yg sudah saya buat selalu hilang. dan lagu yang saya pilih selalu berubah menjadi lagu lain. judulnya dan liriknya memang sama, tapi suara musik dan lagunya berbeda. aneh sekali aplikasi ini. saya sudah bayar, eh malah pake nya tidak nyaman seperti ini. terkadang juga gambar penyanyinya beda, malah berubah band lain. tidak jelas sama sekali, saya sudah update beberapa kali tetapi tidak ada yang berubah. tetap ada bug seperti ini",1,1,1,0,bayar rusak jelek playlist yg buat selalu hilang lagu saya pilih selalu ubah jadi lagu judul lirik memang sama suara musik lagu beda aneh sekali aplikasi saya bayar eh malah pake nya nyaman ini terkadang gambar nyanyi beda malah ubah band tidak jelas sama sekali saya sudah update beberapa kali tidak yang ubah tetap rusak ini
Sony Adeputra16,5,2025-02-20 22:47:46,Aplikasi streaming music favorit 👍,0,1,0,1,aplikasi streaming music favorit
Jhey Fiksi,5,2025-02-19 22:50:34,Menurut ku ini aplikasi musik terbaik di antara yg ada... Good job,1,1,1,1,ku aplikasi musik baik antara yg good job
Shaumi Airinada Kurnia,5,2025-02-19 22:34:21,bagus,0,0,0,1,bagus
xixi,1,2025-02-19 09:35:58,Aplikasi minta login Mulu tapi udah login ga masuk masuk,0,1,0,0,aplikasi minta login mulu sudah login masuk masuk
Ahmad Rahmanuddin,5,2025-02-17 22:58:57,Kualitas audio cukup memuaskan,1,0,0,1,kualitas audio cukup muas
Tarsila Maria Vonny Kosasih,3,2025-02-17 03:37:17,"Please fix on android, my app keep back to menu library after opened",0,1,0,0,please fix on android my aplikasi keep back to menu library after opened
sajito maniki,5,2025-02-14 10:38:05,Gokil suara jernih jauh lebih bagus dari apk music lain terimakasih....,1,0,0,1,gokil suara jernih jauh lebih bagus aplikasi music terimakasih
Syahrul Karunia Pradana,5,2025-02-13 21:30:02,"Menurut saya, ini salah satu aplikasi streaming musik terbaik! Tapi, pengguna harus berlangganan dulu lewat Apple Music, yang punya banyak pilihan paket. Secara keseluruhan, musik yang disediakan keren dan bisa bersaing dengan aplikasi lain. Plus, lagu-lagunya bisa diunduh dengan berbagai kualitas audio. Dan menurut saya, kualitas audio Apple Music adalah yang terbaik! Tapi kalau soal jumlah lagu dan rekomendasi, Spotify masih lebih oke. Bisa dibilang, Apple Music ini ""saudara"" dari Spotify!",1,1,1,1,salah satu aplikasi streaming musik baik guna langgan dulu lewat apple music punya banyak pilih paket seluruh musik sedia bagus saing aplikasi plus lagulagunya unduh bagai kualitas audio turut saya kualitas audio apple music yang baik kalau soal jumlah lagu rekomendasi spotify lebih oke bisa bilang apple music saudara spotify
rahmah Cantik122,1,2025-02-13 17:49:04,Aq krng engeh dgn judul aplikasinya Apple music kupikir bisa untuk dimerk hp apaan aja eh.. ternyata emng khusus hp Apple Bru mngkn bisa dibuka aplikasi musiknya,1,1,0,0,aq krng engeh dgn judul aplikasi apple music pikir untuk dimerk hp apa aja eh nyata emng khusus hp apple bru mngkn buka aplikasi musik
Echo Bay,5,2025-02-12 16:59:03,"good, keep it up",0,0,0,1,good keep it up
Maysa Salsabila,2,2025-02-11 21:47:07,Kureng bgus,0,0,0,0,reng bgus
Starlight,5,2025-02-08 22:13:58,Let the stars do the talking!!!!,0,0,0,1,let the stars do the talking
Richy Toms,5,2025-02-08 17:28:27,good,0,0,0,1,good
Adiba Y,2,2025-02-07 20:56:16,sinyalku bagus tapi pas muter musik selalu lambat mulainya,1,1,0,0,sinyal bagus pas muter musik selalu lambat mulai
Prasetya Mulyana,5,2025-02-07 17:43:36,nyoba dulu bagus gk,0,0,0,1,nyoba dulu bagus gk
Stanley Rhitzu,2,2025-02-06 22:54:31,"Saya tidak merasa berlangganan dengan apple music, tapi tiba tiba saldo saya berkurang karena berlangganan apple music. Tolong di bantu untuk di refund",0,0,1,0,tidak rasa langgan apple music tiba tiba saldo kurang langgan apple music di bantu di refund
Rima Ragam,5,2025-02-02 15:22:12,Jos 👍,0,0,0,1,jos
Suhayl Shaan,5,2025-02-01 23:01:23,The Best Music Streaming Of All Time. Jujur ini Aplikasi Overpowered drpd YT Music Dan Spotify karena Lagu nya menggunakan Format ALAC(Apple Lossless Audio Coded) Karena harga nya terjangkau saya sudah menganggap ini menjadi salah satu aplikasi music streaming yg paling the best top #1,1,1,1,1,the best music streaming of all time jujur aplikasi overpowered drpd yt music spotify lagu nya guna format alacapple lossless audio coded harga nya jangkau sudah anggap jadi salah satu aplikasi music streaming yg paling the best top
Adrian Maxton,4,2025-01-31 01:02:13,Ini knp pas play lagu langsung loncat persekian detik. terus pas lagi putar lagu sering berenti persekian detik terus lanjut lagi 🙄,1,1,0,1,kenapa pas play lagu langsung loncat sekian detik terus pas putar lagu sering renti sekian detik terus lanjut
Surya Raditya,5,2025-01-28 19:21:22,Gokilll,0,0,0,1,gokilll
Haydar Abrar,1,2025-01-26 14:00:25,setiap nambah playlist selalu hilang playlist yang lain,1,0,0,0,nambah playlist selalu hilang playlist lain
haqqi,1,2025-01-25 21:14:40,After updating Apple Music APK can't be played,0,0,0,0,after updating apple music aplikasi cant be played
Vibin,5,2025-01-23 21:27:05,"Platform streaming musik dengan kualitas terbaik yang pernah saya coba, walaupun android, UInya tidak dibuat asal asalan. Seperti, transisi nya yang smooth, dan hal hal lain yang bergantung pada User Interface. walaupun dalam hal merekomendasi sebuah lagu, ""MUNGKIN"" sedikit lebih, kuranglah, dibandingkan dengan platform streaming musik sebelah. Tapi itu tergantung algoritmanya. Walaupun di Android, tidak ada promo 1 bulan gratis atau promo lainnya.hehe. Tapi overall, ini bagus dan direkomendasi.",1,1,1,1,platform streaming musik kualitas baik pernah coba walaupun android uinya buat asal asal transisi nya smooth hal lain gantung user interface walaupun hal rekomendasi buah lagu mungkin sedikit lebih kurang banding platform streaming musik belah itu gantung algoritmanya walaupun android ada promo bulan gratis promo lainnyahehe overall bagus rekomendasi
Abdillah M. Afrizal,4,2025-01-21 20:55:41,Kok bayar sih,0,0,1,1,kok bayar sih
Reski Darianto,5,2025-01-18 19:18:11,Segini dulu,0,0,0,1,gin dulu
Callysta.,5,2025-01-18 15:26:01,"BAGUS BGTT!! padhal ak andro, tapi aku pake apple music",0,0,0,1,bagus bgtt padhal ak andro saya pake apple music
Maatji _,1,2025-01-16 21:12:18,Tiba2 pembayaran otomatis mana duit sisa itu,1,0,1,0,tiba bayar otomatis mana duit sisa
fadil effendi,5,2025-01-12 17:59:15,terbaikkk,0,0,1,1,terbaikkk
Muhamad Razif malik,5,2025-01-12 10:37:24,good,0,0,0,1,good
Fardan Coyy,4,2025-01-12 06:07:29,A S,0,0,0,1,a s
Kambing Buta,3,2025-01-11 22:10:04,Kok di gopix 3 XL mental Mulu apl nya kenapa?,0,0,0,1,kok gopix xl mental mulu apl nya
Dimas Pratama,5,2025-01-11 20:21:43,KEREN,0,0,0,1,bagus
Dandu Reivandra Juniansa,5,2025-01-10 22:11:07,mantappp apple music thank you,0,0,0,1,mantappp apple music thank you
Randi Maulana,1,2025-01-10 20:40:03,aplikasi 4njj,0,1,0,0,aplikasi njj
Maltosse,1,2025-01-09 20:02:47,"1 bulan gratis, seterusnya harus berlangganan",0,0,1,0,bulan gratis harus langgan
WONG JAWA,5,2025-01-09 10:24:25,Bagus,0,0,0,1,bagus
Dianyee,5,2025-01-08 20:03:36,bagus sekali,0,0,0,1,bagus sekali
Bicci Cikbi,1,2025-01-08 10:28:20,Musiknya sering ke ganti sendiri kntol,1,0,0,0,musik sering ganti sendiri kntol
Ahmad Syaidillah,5,2025-01-08 07:43:02,"Nice App Dev, APPLE GOOD",0,0,0,1,nice aplikasi dev apple good
Ridwan M Zikry,3,2025-01-08 06:48:13,setiap ganti lagu kalau pake TWS selalu disconnected tws... tolong di perbaiki atau berikan saya solusi.,1,1,1,0,ganti lagu kalau pake tws selalu disconnected tws di baik ikan solusi
Krisnaabaru,1,2025-01-07 22:23:47,mahallll,0,0,1,0,mahallll
L,5,2025-01-07 13:03:04,Sediakan format lossless,1,0,0,1,sedia format lossless
Faris Fatah,1,2025-01-06 17:36:07,"Custom image for playlist sometimes not displayed, Volume level of songs on Android is inconsistent, please add a volume normalization feature for android.",1,0,0,0,custom image for playlist sometimes not displayed volume level of songs on android is inconsistent please add a volume normalization feature for android
Ramdhan,5,2025-01-05 07:22:40,better than that green one for audio quality,1,0,0,1,better than that green one for audio quality
Ellyz 57,5,2025-01-05 01:28:53,gokil suara jernih jauh lebih bagus dari apk music lain,1,0,0,1,gokil suara jernih jauh lebih bagus aplikasi music
Vian Zyx,5,2025-01-04 16:08:50,saya suka dengan fitur lossless nyaa,1,0,0,1,suka fitur lossless nyaa
Ryuden Fahd,5,2025-01-04 09:58:20,salah satu platform streaming musik Hi-res lossless saat ini,1,0,0,1,salah satu platform streaming musik hires lossless ini
Helen Gz,5,2025-01-04 08:51:00,Oke,0,0,0,1,oke
Adip Adiba55,2,2025-01-03 19:43:17,Kenapa lagu saya di playlist terunduh gabisa diputar padahal premium saya tidak berakhir🗿,1,1,1,0,lagu di playlist unduh bisa putar padahal premium tidak akhir
RafaYgr,5,2025-01-02 14:48:20,Salah satu streaming music player hires lossless terbaik,1,0,1,1,salah satu streaming music player hires lossless baik
Sanudin Udin,5,2025-01-02 04:26:06,Baik sekalj,0,0,0,1,baik sekalj
ponco kristanto,1,2024-12-31 06:30:27,"Ini setelah update langganan, kenapa tidak bisa play musik ?!",1,0,1,0,telah update langgan tidak play musik
Jengloth,3,2024-12-30 11:14:25,"I LOVE THE EXPERIENCE USING THIS APP, but sometimes its offline for no reason even tho im on my usual wifi",0,0,0,1,i love the experience using this aplikasi but sometimes its offline for no reason even tho im on my usual wifi
The Stranger,3,2024-12-29 15:24:45,"Kenapa udah masukin otp tetap tak bisa masuk,jangan mempersulit pengguna baru.",0,1,0,1,sudah masuk otp tetap tak masukjangan sulit guna baru
Yehezkiel Lee,1,2024-12-29 05:56:58,"Doesnt works on rooted devices (Audio Mods) sounds so stupid compared to YT Music and Spotify, unsubscribed",1,0,1,0,doesnt works on rooted devices audio mods sounds so stupid compared to yt music and spotify unsubscribed
Muhamad Nico,4,2024-12-29 01:45:07,Overall lumayan bagus. Bug di suara terkadang kecil di beberapa lagu dan normal kembali di beberapa lagu. Terkadang playlist otomatis error tidak muncul,1,1,0,1,overall lumayan bagus rusak suara terkadang kecil beberapa lagu normal di beberapa lagu terkadang playlist otomatis rusak muncul
Deni Adi Wijaksana,5,2024-12-28 18:43:48,kualitas suaranya bagus banget,1,0,0,1,kualitas suara bagus banget
Izūmi Kaslana,5,2024-12-27 13:05:03,best music apk,0,0,0,1,best music aplikasi
m said,5,2024-12-27 01:16:43,bagus oke mantap,0,0,0,1,bagus oke bagus
risky huda,4,2024-12-26 20:44:49,"Sejak pertama install, saya sangat kagum dengan kualitas suaranya. Dibanding aplikasi sebelah, sangat detil dan suara bass-nya kayak lebih asik gitu loh, padahal sama2 disetel ke ""kualitas tinggi"", tapi di sini beda, asliiiii bikin senyam-senyum. 😆 Pake KZ ZSN Pro aja udah manjain banget, fix nanti kalo udah rusak upgrade ke Sennheiser keknya Joss. Kekurangan cuma lagu di daftar putar tiba-tiba hilang.",1,1,0,1,sejak pertama install sangat kagum kualitas suara banding aplikasi belah sangat detil suara bassnya kayak lebih asik gitu loh padahal sama setel kualitas tinggi sini beda asliiiii buat senyamsenyum pake kz zsn pro aja manjain banget fix kalau rusak upgrade sennheiser kek joss kurang cuma lagu di daftar putar tibatiba hilang
Yoe Dhi,1,2024-12-26 17:13:50,Gak langganan main ambil saldo gopay saya gak ada permisi,0,0,1,0,langgan main ambil saldo gopay tidak permisi
Ridhwan Yfee,5,2024-12-25 12:48:07,makasih 6 bulan total gratis,0,0,1,1,makasih bulan total gratis
Timotius Y,5,2024-12-25 11:38:43,mantap,0,0,0,1,bagus
Zaki,5,2024-12-25 11:13:49,Aplikasi streamer musik tebaik. Kualitasnya musiknya top diantara streamer yg lain,1,1,0,1,aplikasi streamer musik tebaik kualitas musik top antara streamer yg
Alip Maulana,1,2024-12-24 18:05:30,An error occurred and can't play music,0,1,0,0,an rusak occurred and cant play music
Romiiansyah PTK (Komeng),5,2024-12-24 08:47:25,TAMBAH LAGI FREE NYA BIAR MAKIN RAMEE,0,1,1,1,tambah free nya biar makin ramee
ahmad zulfikar,5,2024-12-24 05:22:50,Aplikasi paling bagus buat streaming maupun download,0,1,0,1,aplikasi paling bagus buat streaming maupun download
gagal gaming,4,2024-12-23 22:29:39,Bagus aplikasinya,0,1,0,1,bagus aplikasi
FF Wibu,1,2024-12-23 19:51:41,oon,0,0,0,0,oon
elsa aries,5,2024-12-23 18:38:53,RintoSeinagr,0,0,0,1,rintoseinagr
sadou kulu,5,2024-12-20 14:55:45,Aplikasi ini sagan bagus sekali aku kasih bintang 5,0,1,0,1,aplikasi sagan bagus sekali kasih bintang
AL-Ghazali Music Gambus Channel,2,2024-12-20 12:35:33,cffr a,0,0,0,0,cffr a
Joko Sahono,4,2024-12-20 10:58:53,🐶🐁🐩🐱Good Night 💤🌙🐭 😊 Sweet Dream🐱🏡 🌠🌠😁💄💄🔜🔰﻿💤💤💤💤💤 ☁☁☁💤☁ ☁☁💤☁☁ ☁💤☁☁☁ 💤💤💤💤💤 ☁ Sleepy ☁ 🌠🌠🌠🌠🌠😑😄🐭😁,0,0,0,1,good night sweet dream sleepy
Made Dedy,5,2024-12-19 13:48:41,"Semenjak pindah dari YT musik ke Apple music, Suka banget dengerin lagu disini daripada platform lainnya karena audionya jernih, tampilan UI nya simpel, liriknya real time dan banyak rekomendasi lagu"" jadi gak bingung nyari lagu apa untuk didengar",1,1,0,1,semenjak pindah yt musik apple music suka banget dengar lagu sini platform lain audio jernih tampil ui nya simpel lirik real time banyak rekomendasi lagu jadi bingung nyari lagu apa dengar
Muhammad Ikhwan mm,5,2024-12-18 14:04:37,Tampilan lebih mewah dan elegan,1,0,0,1,tampil lebih mewah elegan
Agi Pratiwi,1,2024-12-17 08:48:51,Masa langganan saya masih sampai akhir bulan tapi di tanggal 17 Desember ga bisa di buka dan di suruh langganan lagi!!! SANGAT MERUGIKAN PELANGGAN!!! Aplikasi sampah,0,1,1,0,masa langgan masih akhir bulan tanggal desember bisa di buka di suruh langgan sangat rugi langgan aplikasi sampah
Jami'at Jam,5,2024-12-17 01:27:20,Apk is very good,0,0,0,1,aplikasi is very good
Chandra Salvation,5,2024-12-16 20:12:31,bagus,0,0,0,1,bagus
Kikifan,5,2024-12-16 11:49:48,suka,0,0,0,1,suka
Allan Moy,5,2024-12-16 10:05:35,Sangat bagus good job,0,0,0,1,sangat bagus good job
Ibu Ku,1,2024-12-16 04:04:02,Berbayar,0,0,1,0,bayar
Deny Purwanto,5,2024-12-15 23:21:34,Perfeck,0,0,0,1,perfeck
Sobirin Mg,1,2024-12-15 02:00:15,Ga bisa login di pc. Mau login suru update ios lah orang pc sama andro. Kaga danta,0,1,0,0,bisa login pc mau login suru update ios lah orang pc sama andro kaga danta
Syarif Hidayatullah,1,2024-12-14 21:58:48,UI nya jelek bikin bingung better Spotify/YT Music UI nya gak bikin bingung,1,0,0,0,ui nya jelek buat bingung better spotifyyt music ui nya buat bingung
LEEFICT (BATTLE TOASTER),5,2024-12-13 03:39:35,great experience,0,0,0,1,great experience
Rainer Wijaya,5,2024-12-12 22:35:32,Rainer Wijaya Coby lagu Flashibsk puth,1,1,0,1,rainer wijaya coby lagu flashibsk puth
Samuri Samuri,5,2024-12-12 20:59:17,D samurigedok Switchers Switcheroo bertasebriana Webpages Switcheroo,0,0,0,1,d samurigedok switchers switcheroo bertasebriana webpages switcheroo
Rajim Pondra,1,2024-12-11 23:05:29,"langganan sudah di batalkan dan aplikasi sudah di hapus kenapa tetap kena pembayaran otomatis,tolong dong pihak Apple music",0,1,1,0,langgan di batal aplikasi di hapus tetap kena bayar otomatistolong dong pihak apple music
diki lukmana,5,2024-12-10 05:41:12,"ada harga, ada kualitas",0,0,1,1,harga kualitas
Kevin Fio,5,2024-12-07 16:12:07,Application Apple corp serve music global,0,0,1,1,application apple corp serve music global
Abduh Wafi Mufadhol,4,2024-12-05 05:09:38,Server masih kalah cepat dengan penyedia sebelah,0,0,0,1,server kalah cepat sedia belah
Aliciaegistyabella,5,2024-12-02 19:25:08,good,0,0,0,1,good
Helly Zb,1,2024-12-01 19:21:50,Tidak bisa di gunakan,0,0,0,0,bisa guna
Betini Betty,1,2024-11-30 08:11:51,Saya tidak pernah mendounlaud apk ini kenapa saldo dana saya diambil tuk pembayaran tgl 1 November sjumlah Rp.95.000 pas dtgl 29 nov sambil kembali saya minta uang saya kembali lagi Jagan merugikan kita yg tidak pernah mengajukan pembelian di apk ini tlong,0,1,1,0,pernah mendounlaud aplikasi kenapa saldo dana ambil tuk bayar tgl november sjumlah rp pas dtgl nov kembali minta uang kembali jagan rugi yg tidak pernah aju beli aplikasi tlong
Tedi Joner,1,2024-11-29 21:21:32,Turunin 😋😋 jelek banget bagusan langit musik dan spotify gratis apk ini apk sampah gak guna,1,0,1,0,turunin jelek banget bagus langit musik spotify gratis aplikasi aplikasi sampah guna
Adhi Nugraha,5,2024-11-28 21:44:07,"Pengalaman saya tentunya luar biasa, apalagi disuguhi audio lossles dan itu sangat memanjakan telinga saya hingga begitu betah saya mendengar musik lewat aplikasi ini. Btw Apple music lebih ke personal musik sih ketimbang streaming seperti aplikasi lainnya, jadi kita harus mengatur sendiri musik apa yang kita suka ya meskipun membutuhkan sedikit effort tapi kalian akan menemukan experience yang bagus dengan ini.",1,1,0,1,alam tentu luar biasa suguh audio lossles itu sangat manja telinga hingga betah dengar musik lewat aplikasi btw apple music lebih personal musik sih ketimbang streaming aplikasi lain jadi harus atur sendiri musik apa kita suka meski butuh sedikit effort kalian temu experience bagus ini
Jeklin Jebox,5,2024-11-28 00:31:47,Cukup,0,0,0,1,cukup
iklima corp,1,2024-11-25 19:48:45,Ga bsa msk,0,0,0,0,bsa msk
Daffa .s.,1,2024-11-23 23:11:35,"Najiz denger music doang berbayar, mending denger in music di yt sama Spotify",0,0,1,0,najiz dengar music doang bayar mending dengar in music yt sama spotify
Haikal Perdana,1,2024-11-22 05:38:40,"Lagu nya gk bisa dengar sama sekali, semuanya berbayar sangan jelek, buruk",1,1,1,0,lagu nya gk dengar sama sekali semua bayar sangan jelek buruk
Solikan Yasid Yasid,5,2024-11-21 20:42:42,Oke,0,0,0,1,oke
rafzy rafa,5,2024-11-21 20:40:22,good,0,0,0,1,good
Yerisna Palesa,5,2024-11-21 18:37:06,Makasih kak Isyana Sarasvati karna udah ngenalin aku sama nih aplikasi keren,0,1,0,1,makasih kak isyana sarasvati sudah ngenalin sama nih aplikasi bagus
Andreas Aditya,2,2024-11-21 04:35:14,"Fix the bug, i cant share music to instagram story",0,1,0,0,fix the rusak i cant share music to instagram story
Tos Cr,1,2024-11-14 18:10:25,yang jelek dan sangat warna merah daftar,0,0,0,0,jelek sangat warna merah daftar
Twins Mukomuko,1,2024-11-14 02:52:45,Daftar kok ribet amat...sandi kita yg mau ingat kok salah terus giliran mau masukin kode di Gmail kok tiba tiba keluar...ngulang daftar lagi...tapi sandi gak ada pas padahal sandi sudah cukup rumit...apk macam apa ini...,0,1,0,0,daftar kok ribet amatsandi yg mau ingat kok salah terus gilir mau masuk kode gmail kok tiba tiba keluarngulang daftar lagitapi sandi ada pas padahal sandi cukup rumitaplikasi macam apa
Yesman Yess,2,2024-11-13 20:18:02,Aku ko buka langsung keluar sendiri,0,1,0,0,ko buka langsung keluar sendiri
donie brasco marshal,4,2024-11-13 14:27:03,cool and cozy,0,0,0,1,cool and cozy
Fans JKT48 Indonesia,5,2024-11-13 13:47:24,Aplikasi Bagus banget Please Update Supaya Makin Bagus Oke Terima Kasih Salam Dari Indonesia,0,1,1,1,aplikasi bagus banget please update makin bagus oke terima kasih salam indonesia
Maichel Sotherio,4,2024-11-11 20:37:38,"Di update selanjutnya mohon agar pilihan dolby atmos bisa dimatikan, karena beberapa lagu dengan dolby atmos suara sangat jelek",1,1,0,1,update lanjut mohon pilih dolby atmos mati beberapa lagu dolby atmos suara sangat jelek
hen.,5,2024-11-10 20:35:37,"appnya gaada kurangg💗💗💗 ada fitur"" lain yang buat dengerin musik di apple music kerasa lebih nyamann dann lembutt jadi kebawa suasanaa😔💗💗 jadii akuu kasii bintangg limaaa😍😍😍",1,0,0,1,appnya gaada kurangg fitur yang buat dengar musik apple music rasa lebih nyamann dann lembutt jadi bawa suasanaa jadi akuu kasi bintangg limaaa
Ryuuu,1,2024-11-10 10:41:30,Minimal bayar pajak ke indonesia,0,0,1,0,minimal bayar pajak indonesia
alda mokoginta,1,2024-11-05 08:22:52,"Kenapa pengajian surah2 syehk rasyid misary smua d hapus, pdahal sdha lama sya donwload dan sering2 saya putar.",1,0,0,0,aji surah syehk rasyid misary smua d hapus pdahal sdha lama sya donwload sering putar
Clemence Wijaya,1,2024-11-03 09:11:01,"lemot sekali, masa mau denger 1 lagu aja loading nya 1 menit lebih kayak ga niat gitu share ke Android dasar apple wkwkwkwkw",1,1,0,0,lambat sekali masa mau dengar lagu aja loading nya menit lebih kayak niat gitu share android dasar apple wkwkwkwkw
Ω•HYORI,5,2024-11-01 11:13:26,Apel music ah ah,0,0,0,1,apel music ah ah
Alisa Forhead,1,2024-10-31 00:11:24,Apple Music does not pay artist royalties on 30 day trial.. your platform will not sell !!!!!,1,0,1,0,apple music does not pay artist royalties on day trial your platform will not sell
Yayan Rohayan,5,2024-10-30 23:48:22,Aplikasi musik.,1,1,0,1,aplikasi musik
Labaco Jie,5,2024-10-24 18:29:03,ACl Gamestip,0,0,0,1,acl gamestip
mn. rohman,1,2024-10-24 18:09:23,"Saya tidak bisa berlangganan, selalu gagal padahal akun sudah verifikasi",0,0,1,0,tidak langgan selalu gagal padahal akun verifikasi
Cory Afrinanda,5,2024-10-24 12:24:24,so nice 👍🏼,0,0,0,1,so nice
Aditya Irsyad MA,3,2024-10-23 12:38:06,"Overall oke sih aplikasinya. Menanggapi ulasan dari teman-teman di sini yang mengatakan bahwasannya lagu sering ganti2 sndiri itu benar adanya, saat ini saya merasakannya yang mana lgunya seringkali putar lgu berikutnya sndiri. Mohon perbaiki lagi agar bisa lebih baik lgi ke depannya 😊",1,1,1,0,overall oke sih aplikasi tanggap ulas temanteman sini kata bahwasannya lagu sering ganti sndiri benar ada ini rasa mana lgunya seringkali putar lgu ikut sndiri mohon baik agar lebih baik lgi depan
