userName,score,at,content
RYAN BAYU AJI,4,2024-04-26 22:12:27,"Tolong beri fitur audio 24bit, karena masih kurang jernih kulitasnya."
Sahat Maleaki,1,2024-04-26 21:11:19,"Ga bisa digunakan, padahal mau berlangganan,anehh.. mau berlangganan malah dibikin ribettt !!!"
보미Bomi,5,2024-04-26 17:13:34,Oke
Mahmud Abbas,1,2024-04-25 22:59:44,parah. padahal mau nyoba aja eh malah disuruh beli langganan. kenapa kagak dikasih iklan aja?
kentucky,4,2024-04-21 12:19:08,bagus si cuma kadang-kadang kalau mau dengerin album lagu tiba-tiba gabisa diputar kepindah ke lagu berikutnya tapi tetep gabisa di putar
RD _Hani,3,2024-04-21 06:46:14,"Bermasalah di android 12, redmi not 9 pro. Musik tidak dapat di putar, kadang hanya memutar 15 detik lalu next sendiri,"
Rahmat junaydi,1,2024-04-19 23:07:20,Mau daftar dipersulit ndasar silit👎
pungky27,1,2024-04-18 00:15:34,Gak bisa digunakan
Aco Jie,5,2024-04-17 13:49:17,ACl Gamestop
godo gedang,1,2024-04-16 13:04:34,Memutar lagu bayar dulu haduh nggak jadi install maaf ya
Sumarni marniji,2,2024-04-15 04:50:52,Brisik
Muhammad Yuda,5,2024-04-10 22:08:03,"Oke punya device ip dan andro, dan cuma suka platform ini untuk musikkan"
Hamdan “Boy”,5,2024-04-10 08:24:37,Stunning
Raymond Leonard,1,2024-04-08 14:17:55,"Aplikasi taik, udah bayar tiba2 akun kblokir nda bisa di apa2in"
Taufik Rahman,5,2024-04-04 22:31:58,Apple good
Vickey Dinara,1,2024-04-01 17:28:09,"apaan udah sejam album txt yang baru rilis hari ini gabisa di play, di yt music sama spotify aja langsung bisaa"
Muhammad Rizki Nugraha,5,2024-03-20 05:39:39,"very good,just improve the bug"
Ryu,5,2024-03-18 19:32:33,The best
Clara Ciut,5,2024-03-17 11:35:07,ACl Gamestop
Milka kase Kase,5,2024-03-17 00:17:19,karna aplikasinya bagus
Pieter Tani,5,2024-03-17 00:10:09,Omg
Revi Bina,5,2024-03-11 18:44:12,Ibu Yuliana bina 🙏🤲💛🇮🇩
Rfldi New,1,2024-03-05 21:35:44,"Aplikasi babi, jauh lebih bagus yt music"
Ampera 1966,3,2024-03-04 10:29:06,"Hai, terakhir ini sering trdengar suara kresek kresek yang sangat tdk nyaman, dan terkadang lagu sulit untuk diputar dan didengarkan"
Ardhina Rizki churiaini,1,2024-03-02 15:29:46,Buruk
Shidqi Fadlilah Rabbani,1,2024-03-01 06:26:11,"Gak bisa bikin ID Apple, disuruh masukin kode verify di email tapi gak ada email masuk sama sekali, gimana ini???"
Didik Kustanto,1,2024-02-28 16:13:36,Dengan android 14 zenfone 10 Tidak dapat koneksi dengan DAC eksternal :(
Elka Agrian,3,2024-02-28 00:38:40,Saya coba dulu ya aplikasi nya kalo bagus saya tambahkan bintang nya
Jaja Gaming,5,2024-02-26 18:25:51,Aplikasinya keren desainnya keren spektif keren nyaman ok besttttttappppp
Heru Soleh,5,2024-02-22 19:15:41,Oke
Juan juandafayo,1,2024-02-19 19:48:00,bug terlalu bnyk
Khairullah,5,2024-02-12 01:06:53,memang mantap
Siska_ Mustikawati,5,2024-02-07 00:30:54,"Change or remove the payment cards that you use with Apple Pay You can change your default card, remove a card from Apple Wallet, or update the billing and contact information that Apple Pay uses for in-app and online purchases. Change your default card The first payment card that you add to Apple Wallet on a device becomes your default card for that device. When you add more cards, you can change your default card. How to change the default card for Apple Pay on your iPhone Open the Wallet"
Nur Dewi,5,2024-02-05 20:18:46,Lgu lampung ter baru 2024
andris HZ “Lau nduwis” Ladopo,4,2024-02-05 07:00:06,Coba dulu yaa bang
ahmad faisal,4,2024-02-04 21:21:30,Dasar ngabisin quota
Siti Titi,2,2024-02-02 20:20:37,Gagged die pokad
Sumi Sumiati,1,2024-02-02 19:22:16,tidak seru
FENDI SUSENO (FENSENO),5,2024-02-02 13:26:06,bagus
vankaa,3,2024-02-02 08:36:05,Where is Apple podcast?
Mahmudah Bojonegoro,5,2024-02-02 02:16:19,Mengenai Musik di Apple kasinya juga hisa membantu orang yg Strees bisa mendengarkan musiknya bisa gembira lagi sambil bergoyang
Mahrus,5,2024-02-01 20:25:28,lanjutkan mahrusoke
sutia man,5,2024-01-29 22:00:24,Makasih
Nom Nom,3,2024-01-28 11:23:01,My music wont playing even i have good internet connection. Why? Did i just payed for a bug?
lina muthalib,5,2024-01-28 08:39:37,"Music merufakan bahasa dunia di entertainment things, yang dafat menenangkan hati 💗👍😷👌🎈☺🌞💋👄"
Hasnur safira,3,2024-01-26 19:52:21,Aku beri bintang 3 aflikasi ini krn dry menyimpan lagu lagu favorit aku atau lagu dari temanku
Frost Gaming,5,2024-01-24 13:56:46,Mantep lebih bagus ini dari pada Spotify yg burik
Alex Gilmour,1,2024-01-24 00:10:00,"Dulu bagus, sekarang gitu deh"
Latabi Amer,2,2024-01-23 15:55:46,Lagu dangdut
enthong sego,1,2024-01-21 18:53:31,Ribet
Raya Rabbani,5,2024-01-21 06:47:26,Ckep
Mas Indra Saputra,5,2024-01-18 22:31:06,Bagus dan memuaskan
Dwi Kurniawan,2,2024-01-17 10:31:11,Sayang sekali tidak bisa karaoke (Apple Music Sing) seperti di IOS. Padahal biaya langganan sama
Prayoga Angga,5,2024-01-14 19:22:02,Toppp abis ini aplikasi...luar biasa
M1CH3LLE,1,2024-01-11 01:55:11,Ap ni anjay GK bisa gw download
Renarahmawati Wati,2,2024-01-10 20:39:44,Susah
suhara,2,2024-01-10 00:40:20,lumayan bagus ak ksih bintang 3 dulu soal nyh ak pemakay aplikasi inh baru
Ivan Juliana,1,2024-01-07 20:40:07,"Tolong segera di fix, Buka album artist sering bug dan share lirik gk ada opsi share ke Instagram dan WhatsApp, sekali nya ada malah error"
Sunarlan,1,2024-01-06 09:57:29,"lagu sudah ganti, di latar belum ganti aneh banget, kenapa apple tidak hanya di aplikasi, di hape nya juga banyak bug🤦, banyak masalah, hayo lah tim apple lebih niat lagi kalo ngembangin software terimakasih"
piko ferizona,1,2024-01-04 20:11:11,"banyak bug, equalizer tidak dapat di gunakan sama sekali"
Nazwa Rahma Octaviana,1,2024-01-03 15:20:11,udah di batalin pembayaran selanjutnya make juga 3hari tetep aja ketarik lewat shopeepay. bad!!
T Y,1,2024-01-01 14:41:05,"Udah gk lengkap, wajib premium lagi"
michael sanderes,3,2023-12-27 17:40:46,Kenapa perpustakaan tidak bisa dibuka
Java Rockstar (Music),5,2023-12-26 11:11:39,"As a musician, i think this is a good app!"
Rini zohri,1,2023-12-18 10:56:10,Gk bisa loginnn
Yudhistira Idrus,5,2023-12-16 00:58:42,Awsome!
Noire,5,2023-12-15 16:48:45,Goodd
Ivabirk,1,2023-12-15 14:51:52,"Kok versi sekarang jadi banyak bug ya, kayak mau buka album dari lagu gabisa dan terkadang musik yang kita play berhenti sendiri dan ada suara kresek kresek"
Al Huda,1,2023-12-12 11:45:25,Pantekkkkkk gak masuk anjiiiiiing
Arga Mandala,4,2023-12-11 22:25:53,Kasi bintang 4empat dulu baru coba
ecko empatiga,1,2023-12-10 20:42:54,Ogah bayar
Goris Ariyani,5,2023-12-09 17:15:25,"tolong perbaiki apknya. ini ga bisa denger beberapa lagu, hapus data dulu baru bisa"
Jihad Rafsanjani,1,2023-12-07 19:30:55,Parah bgt sudah berlangganan tp tidak bisa tertaut
Abdul Hadi Tirta Saputra,2,2023-12-07 10:29:19,C saja
R P F,4,2023-12-07 03:03:00,"Please fix the bug please , i can't setting the explcit content in s23 device . Thankyou"
Ketut Arjane,1,2023-12-06 22:12:50,Susah banget donwlodny
Afifa Nanda,1,2023-12-06 10:11:31,Bagus
Mas Mas,5,2023-12-05 11:50:25,Wah 😮 aplikasi nya bagus banget. Aku kasih bintang 5 ⭐
Jody Tamto Nurmansyah,4,2023-12-03 18:25:00,Pencarian error
sembah riasa,5,2023-12-03 10:58:21,"Kualitas sangat bagus, di putar di perangkat bluetooth saya suaranya sangat bagus di dengar"
Sinta Neng,1,2023-12-03 00:05:54,𝑨𝒑𝒌 𝒕𝒂𝒊 𝒌𝒍𝒐 𝒕𝒂𝒖 𝒃𝒈𝒊𝒏𝒊.𝒈𝒂𝒌 𝒂𝒌𝒏.𝒅𝒘𝒐𝒏𝒍𝒐𝒅 𝒎𝒏𝒚𝒆𝒔𝒂𝒍 𝒂𝒔𝒍𝒊𝒏𝒚𝒂
Rizky G,1,2023-11-29 22:37:34,Support isntreal country
Lalu Hafazah,5,2023-11-27 05:33:15,Simpan disemula
Pascal Veniree,1,2023-11-26 12:35:20,Cara membatalkan berlangganan itu gimana kok di paksa perpanjangan
Haswan Sowan,5,2023-11-26 10:03:49,Bagus banget 🥰
faisyal pratama,1,2023-11-24 21:45:05,Ribett
arman romadhoni,1,2023-11-24 11:26:59,Kok sekarang malah jadi sering nge bug ya?
Rozi,1,2023-11-24 08:48:56,Musik tidak bisa diputar padahal udah unduh loseless eh besoknya gabisa play
Ari Rokin,4,2023-11-22 19:22:23,Bgus
untung widodo,2,2023-11-18 19:11:41,mau coba gratis nggak bisa ... mau dengerin lagu harus langganan dulu .. duh .. blm bisa beri bintang full
Rifky Harin,5,2023-11-17 21:26:09,Bagus semua lagu cukup lengkap output suara bening apalagi yg lossless tertinggi dan tentunya disarankan pake dac
Dimas fathan fadilah,5,2023-11-15 20:51:00,Aplikasi ini bagus banget buat dengerin musik si aku suka
Kamil Muhammad,4,2023-11-12 23:58:06,"Bagus sih, tapi tinggal tambahin fitur yg kaya di iPhone, bisa di hilangin instrumen vocal nya"
Nenah Nurhayati,1,2023-11-11 21:51:24,jelek banget
Asep Riki Sopiana,5,2023-11-09 08:31:47,"The best kita bayar dan tidak ada iklan dan lebih menghargai pembuat musik dan lagu itu sendiri bisa di download dan di putar secara offline,, stop bajakan dehh,, dengerin lagu ori itu lebih baik dengan kualitas terbaik pokoknya mantap"
Ardi Ansyah,1,2023-11-08 13:57:34,bagus
Andrew,1,2023-11-08 02:06:42,"it doesn't run smoothly on my device, please fix the application"
Rolan,5,2023-11-04 20:59:40,Baik
Jendel Ondel,5,2023-11-02 23:40:17,Pantun janda
Rozi,1,2023-10-28 21:13:01,menang loseless doang👎
PANJI BANG BANG 123,1,2023-10-25 17:12:57,Apa jelk
bahagian bahagian,5,2023-10-25 10:38:36,Kumpulan musik dan lagu luar dan dlm negri
KaitoDeLuxx,5,2023-10-24 20:21:40,"Setelah mencoba uji coba gratis selama sebulan yg saya rasakan menggunakan apple music kualitas suaranya bagus NO gimmick, ada resolusi Hi Res jadi suara dan instrumen yg dihasilkan lebih detail dan enak didengar, terus liriknya juga lumayan lengkap, lagu baru pun tersedia. Kekurangannya ini aplikasi daftar putarnya sedikit tergantung single di albumnya jadi tidak unlimited lah kata saya."
Angga Adisurya,2,2023-10-24 10:51:36,"khusus untuk hape merk apel woiii....merk lain gagal maning, karena harus memasukan apple id...juga berbayar dong... ...kanggo nu artosna seueur...."
Muza Madura79,1,2023-10-22 15:48:36,jellik tidak bisa masuk
Iben Zam (Iben Zam),5,2023-10-20 21:07:55,Mantap... banyak pilihan fitur
Cherrie Alyssa,3,2023-10-19 20:53:37,"Baru download, tapi ga bisa bikin akun. Pas mau masukin kode, malah error🙂"
Cah Gunung,1,2023-10-18 22:31:58,Baru aja downlod.. terus ingin buat id apple malah cuma white screen.. doang.. padahal jaringan lancar..
Nu Rul,5,2023-10-16 07:33:23,Aplikasinya sudah bagus hanya saat kita memutar lagu penuh berpindah ke lagu lain mohon di perbaiki lagi aplikasiny
Lovely Ivanka,5,2023-10-15 18:36:48,Omg
Akhmad ismael,1,2023-10-15 13:35:36,ampas
Helena Thiodora,1,2023-10-12 18:33:13,Aneh bgt makin kesini. Lagu yg lagi diputer tiba tiba berhenti sendiri 😡
Tedy Wasis Nurcahyo,3,2023-10-12 01:16:22,Bintang 3 aja liat komen pada kritis dan brutal gajadi instal
hafidz setyo,1,2023-10-10 21:25:01,"Buat akun aja ribet banget ngapain di download lah buang"" waktu"
Samsung A02s,5,2023-10-10 21:10:13,menyenangkan sang at bagus
febri dwi cahyono,5,2023-10-09 15:50:24,Kualitas audionya belum ada yg sehebat ini
Nurpalah,1,2023-10-08 08:26:44,"Setelah menimbang dan mengilo, saya akhir nya fix uninstall nih app musik, kenapa? Karena 2x kejadian lagu yg sudah di unduh tidak dapat di putar (nyari solusi katanya login ulang akun) dan yaaaa anjir unduh ulang dong lagu nya..... soal nya kalo lagu yg di unduh di backup dulu sebelum logout pas di restore gk kebaca sama app nya. Sekian dan terima."
Anandra,2,2023-10-08 01:17:36,masukin lagu dr saran lagu di playlist kok lgsg force close asu
Angga,5,2023-10-07 22:04:59,Good
FLVWS,5,2023-10-07 12:01:42,best music player app frfr
HENDRY AFRIANTO,5,2023-10-06 16:36:48,Permintaan pertemennan
Surya Brata,5,2023-10-04 00:44:45,Update 4.3 bagus
Mita Umitahrizah,5,2023-09-30 06:54:21,Bagus banget! Ga sia-sia langganan premium karna lagunya lengkap serta lagu Indonesia ikut lengkap dan kualitas audio nya bagus!!!! Aku kasih bintang 5 ya!!!
Anon Sec,1,2023-09-28 11:16:13,njir langsung di suruh langganan kocak
Marvel Hanjani,1,2023-09-27 22:49:53,"Maaf kenapa selalu ada kesalahan akun saya di pakai di device lain ?? padahal cuma saya yg pakai dan itu d pakai di google nest Kaya nya mending stop berlangganan, malah bikin kesel Maaf"
Ramdani Saputra,2,2023-09-27 05:00:26,"complicated as always, kenapa tidak ada fitur bayar melalui pulsa, sedangkan bank yg saya gunakan tidak bisa cooperate dengan pembayaran aplikasi."
zulkarnain “izul” ari,5,2023-09-26 18:29:09,mantap markotop
Mardian Saputra,1,2023-09-26 12:45:29,Bikin aja susah udh masukin verifikasi dri email masa gagal terus
Dede Aril,5,2023-09-25 20:05:09,Dede Ari l
sandi jentera,2,2023-09-24 16:10:49,"Jaringan lancar kadang ga bisa play lagu, mix playlist berantakan muncul lagu lawas, connect ke chromecast gabisa nge play juga. Tolong di fix"
Radhietya Raihan,4,2023-09-24 10:49:39,"Overall bagus, tapi ada bug yang mana saya sudah menambahkan sekitar 160 lagu ke playlist, tetapi keesokan harinya playlist saya isinya hanya 100, tolong di fix plssss"
Selamat Hidayat,5,2023-09-23 21:02:58,Tapikan semua musik Indonesia dikenal
Condi anto,1,2023-09-20 12:38:52,Payah....sampah....setiap menerima no ver...selalu gagal...padahal udah cepet dan bener...sudah 1000 x mencoba tp gagal trus...dasar sampah
Restu Novta Lesmana,1,2023-09-19 21:54:15,"Gak bisa daftar, gagal terus. Ribet, sampah!"
Novri Naldi,1,2023-09-19 13:42:23,Tidak bisa di batalkan langganan.. akun pembayaran stuck
Rohadin Badim,5,2023-09-18 22:11:30,Sangat bags
Incent Taka,1,2023-09-15 13:35:47,Apk nya banyak gaya anj
Dwikyy,5,2023-09-15 07:30:55,"Ui nya keren, fiturnya agak masi kurang si dibanding platform sebelah"
BeBe Klab,3,2023-09-14 18:42:40,"Kenapa tidak ada opsi ""tukarkan kartu/kode hadiah"" di menu ""akun"" ?"
khomsin ma'arif,5,2023-09-08 13:57:56,"Good app,untuk pengalaman maksimal sebaiknya gunakan earphone yang bagus(200 ribu keatas)"
chrisbrill,5,2023-09-07 17:09:02,Sogood
Ephifanius Maumere,5,2023-09-07 10:48:22,Sangat bagus
irma adelia,5,2023-09-06 21:40:43,Yay its are most populer i know tysm for tell me many songs dude!
ピュンピュン,5,2023-09-04 19:20:31,Bagus
Herman Hidayat,5,2023-08-31 12:06:51,Lagu kenangan
Burhan Udin,4,2023-08-23 03:36:48,"Tolong dong di fix untuk HP android, equalizernya sering mati sendiri, terus susah diaktifinnya, dan masih banyak lagu yang belum bisa hi-res losseless"
OG,5,2023-08-22 05:55:33,Mantap
Haura Oktav,5,2023-08-19 05:36:22,Uadan ..bersifat bsik hati
Samsung j2,5,2023-08-18 04:46:29,Terima kasih ya
M Dicky Alamsyah,5,2023-08-17 22:30:51,Please bring the redeem code feature on Apple Music Android
Darma Yoga,5,2023-08-17 14:09:40,Musik membuat kita hilang rasa lelah
Al Math,1,2023-08-16 20:44:44,Bahkan lagu yang sudah dibeli yg berada di perpustakaan musik anda untuk mendengarkannya harus bayar lagi.
dnr rap,5,2023-08-14 16:40:54,Where is karaoke mode ??????
Didi Setiadi,1,2023-08-14 00:28:13,"Udahlah tetep di ios aje sono, jgn ke Android, cuma nge troll doang jir Mentang² hp gue Android murah jadul trs lo seenaknya nge troll gt Payah 👎👎👎👎👎"
Marvel Ya Marvel,5,2023-08-13 20:24:16,Audionya super joss⭐⭐⭐⭐⭐😎👏🏼
Ali Rozaqi,5,2023-08-13 01:11:57,Gud
Sutiyo ST,1,2023-08-12 05:30:48,Iyuhhh apk burik gini mendingan gk usah klean download dehh apk nya burik bgt
Aira Putri Pertiwi Putri Pertiwi,3,2023-08-11 03:26:21,Saya senang
Rasmo Mamo,5,2023-08-09 15:04:23,Mantap
Jupiter Z,5,2023-08-09 06:59:43,Liat music
Nina Ruban,5,2023-08-08 15:31:48,Suka
bread Kpop,1,2023-08-08 14:48:25,Sumpah nyesel banget kasih premium nih aplikasi loading meluku padahal jaringan gua bagus aplikasi lain bisa dibuka hanya ini aplikasi yg tdk mau njirt
Aditya,5,2023-08-06 00:20:38,minus nya cuma gabisa share lirik lagu nya ke wa
Haidir Satria,5,2023-08-05 08:21:14,ok
tini martini,5,2023-08-01 19:02:02,Baru mencoba mudah mudahan mantap...
-BIN,1,2023-07-30 16:04:46,Seperti nya Aplikasi musik ini tidak dianjurkan untuk saya pakai karena terlalu banyak musik yang berbayar
Ridho abdllh,4,2023-07-29 14:11:22,fitur karaoke nya masih gk ada
Rais Supriatna,5,2023-07-25 17:02:55,Mantap
Mochammad Zulfikar,5,2023-07-24 07:30:43,Mantap banget dah udah perfect
Siti Nur Rani,5,2023-07-21 22:40:29,"Bagus, tetapi hanya beberapa lagu yang bisa High Lossless. Berharap lagu-lagunya ATEEZ banyak yang bisa High Lossless. Hehe"
Renimafitri,1,2023-07-19 20:16:15,Ndak jelas
Nia Gemoy,5,2023-07-18 17:02:54,Ggu
Pangki Hidayatullah,1,2023-07-17 07:02:11,Tidak dapat digunakan di Realme mini pad saya. Aplikasi langsung tertutup begitu muncul logo Apple setelah proses instalasi.
Hadi Ardiyansyah,5,2023-07-17 01:28:48,Good
Waspin Nurhida,3,2023-07-10 05:52:51,Bagus
nutnot,5,2023-07-09 17:16:08,GOOD GOOD GAADA IKLAN KAYAK SPOTIFY JAHANAM I LIKE THIS🤭🤭
Stenly Manu,5,2023-07-07 15:03:40,Lagu wilson
Anisah Bella,3,2023-07-07 08:23:52,aku kasih bintang tiga aja deh soalnya ini aplikasinya premium gw aja ga bisa bayar jadi ya ku kasih bintang tiga aja
Miminers Agust,1,2023-07-03 05:29:56,Mahal jir
Yeni Wijaya,5,2023-07-02 18:37:44,Saya butuh bantuan lagi galo
Umar,2,2023-07-01 03:24:26,"Blm bisa bypass audio ke DAC External, adain fitur Bitperfect mode kek HiBy, UAPP, Neutron, Tidal, sayang bat dh bayar buat lossless tp diresampling ke 48khz. Yakali 24bit/44.1kHz kalah enak suaranya sma 16Bit/44.1kHz di Hiby Music Player lagu yg sma pdhl."
Kaka Agung,4,2023-06-30 13:49:25,Terlalu banyak lagu yang aku sukai Dan lagam nya cocok buat saya
Heri Rian Muliadi,1,2023-06-30 10:19:47,"I forget password applied, but why when I reset password sent to my my account forget password....stupid..🤦🏻"
Ali Kampleng,1,2023-06-30 04:34:47,Bintang berbicara
Volatille,3,2023-06-29 03:15:14,"Dikasih tanda dong, lagu mana yg loseless sama yg AAC. Kadang bingung jg, dalam satu album ada lagu yg loseless tau-tau pas next atau previous malah jd streaming AAC aja. Fix it"
Fathur Rahman,5,2023-06-28 20:36:45,Sangat puas
A Ta,5,2023-06-28 14:45:03,Super musik
Faust,5,2023-06-28 11:37:54,Bagus
Gede Sudirka,4,2023-06-27 01:53:04,Nice
Nouval Rauf,5,2023-06-26 20:49:14,How Can You Have Music Name Together We Are Stronger Credit By Eystreem
Elis Yawa,5,2023-06-25 19:17:56,Baik.
yunias mote,5,2023-06-25 06:29:15,🙏🙏🙏🙏🙏
RISAL TATTO,2,2023-06-25 02:50:22,Rizal Tatto
Mhmmad Wawan,2,2023-06-24 00:32:35,"Tolong dong Depolover perbaiki lagi dong kok Sy sudah download apknya sdh kasih masuk id apple kok... Dengar lagu""nyaa malah keluar sendiri...tolong perbaiki lagi dengan baguss piliss"
BENNY EFERSON TUMOBER,5,2023-06-23 19:20:49,⭐⭐⭐⭐⭐⭐
Maiwang Galang,5,2023-06-23 11:03:55,Sangat cocok untuk gabut
Maz ucok Alor (Mani),5,2023-06-22 06:57:58,Cepat
Christian,5,2023-06-21 21:29:23,"Untuk kualitas audio nya sama kyk yang di iPhone, jadi ga usah diragukan kualitas audio nya. Itu tergantung device (Hp/headset) masing2. Kalau di galaxy buds live saya di iPhone dan samsung sama2 bagus kualitasnya. Jadi kalau yang bilang kualitas audio nya jelek, itu device nya aja yang harus diupgrade😁. Hanya saja app ini ada bug yang cukup mengganggu. Seperti pergantian lagu yang lagu sebelumnya belum selesai tapi lagu selanjutnya udah diputar."
Hi Hi,4,2023-06-20 20:17:37,Data belum dipakai. Dihapus
m jerzy,4,2023-06-17 10:12:15,Ambil gratis yg sebulan aja abis itu APUS xixixi Thk min
Andri Putra,5,2023-06-17 00:25:53,Musik
Ray Man,1,2023-06-13 20:04:39,aku sih ok tapi agak bagus dikit
Mamat S,5,2023-06-13 00:16:30,Terlalu mahal
TEDI FEBRIANTO22,5,2023-06-10 03:39:55,Kerem
Game Playz,1,2023-06-08 22:04:37,Apaan berbayar pelit amat dah
Siang Setiawan,5,2023-06-08 20:10:25,Dua jempol pokok eeee
Abdil Mafaqhir (Afa),5,2023-06-07 21:13:06,Good job👍😊
Marjuni Hadi Utomo,5,2023-06-06 12:44:42,Bintang 5
Pesantren Nahdlatul Ulama Indonesia (Abdurrahman Wahid),5,2023-06-05 19:22:03,Terimakasih Apple
yonmai Putra,5,2023-06-02 13:22:02,Mantap
Indra Vivo,1,2023-05-28 11:24:48,Gk guna bujang
Abdul Malik,5,2023-05-25 17:18:44,Tolong optimalisasi ketika menggunakan data seluler karena audio sering berganti ke track lain/mati di tengah jalan dan mengulang bagian ini tidak sebaik spotify padahal settingan sudah berada di 256kbps bukan ALAC ataupun HiRess Lossless
Mahya Manika,4,2023-05-22 20:21:27,Bagus cuman kenapa pas diupdate malah kurang baik dari yg sebelumnya
H1GO,1,2023-05-19 04:00:30,dengerin musik doang harus premium
Anditya Tri Wanggono,1,2023-05-19 01:07:35,"Banyak sekali bug. Volume, tampilan, dll, namun yang paling parah adalah bug mengganti lagu sendiri. Tolong segera diperbaiki!"
Fitri Yani,4,2023-05-18 20:38:59,Bagus
Sahid Abdullah,5,2023-05-18 11:02:17,"Aplikasinya bagus sudah terdaftar di ojk dan afbi,meskipun saya harus membayar buat berlanggan ya tidak apa2,walaupun harus topup 1 jt terbukti cair saya sudah buktikan sendiri"
Pay pay Pay aja,5,2023-05-16 18:16:06,Taensss.... Music
Kevin AL,1,2023-05-16 08:56:08,"Feature leave family sharing is gone?,"
A Syahid Hikmatiar,5,2023-05-14 22:10:40,Library music paling kumplit dan kwalitas audio nya sangat bagus.
Ab Pusat,5,2023-05-14 20:39:17,Simiraasmara
Ojeg Krw,5,2023-05-11 23:13:47,Pernah nonton dekorpio
Arjo Sarif,5,2023-05-10 09:28:53,MANTAAP BANGET BROO APLIKASI APPLE MUDICNYA
Lunqz Rola,5,2023-05-09 01:41:29,Sangat membantu
Angga sl,5,2023-05-05 20:26:11,Mantap bisa lossless
Erik Rajamai,3,2023-05-05 01:38:55,Liat dlu apakah sesuai deskripsion nya apa nggak.
NICKY DWI Nugraha .p.,5,2023-04-29 11:42:18,Good
Arinal Haq,1,2023-04-27 00:36:53,very bad
RaizeN,1,2023-04-26 20:58:11,"1* because you guys delete gotoubun no hanayome songs, now I'm migrated to spot***"
sutarno sutatno,1,2023-04-26 20:31:26,jelek
Tio Ferdinan,5,2023-04-26 17:49:39,Ternyata tidak cocok di android saya pengguna ipad dan pengguna premium. Jauh sekali kualitasnya walaupun aplikasi sama. Intinya tidak rekomendasi untuk os android agar nyaman menggunakan aplikasi ini belilah produk apple
Juna Alimayon,1,2023-04-26 05:50:25,Banyak bugnya
Marianussanak sanak,5,2023-04-26 00:36:12,Nice
Darmawati Sukma,5,2023-04-25 08:50:51,Kerja sampingan di rumah aja deh kalo udah alh siap untuk baju terusan Panama city vs Tottenham maaf biiga ssyytei pada bukni5 Hotspur di dunia ini tidak 2020-Oktober-17 kada 🤣🤣🤣🤣😅😅😅😀😀🙏🙏
Zulvickry Aris M,1,2023-04-24 10:53:24,Aplikasi asu
Geradus Geradus,5,2023-04-23 21:01:58,Mantap
HDI GAME JAHANAM,1,2023-04-21 16:09:17,"mau dengar music pake ribet, gunakan apk punya apple,,,,"
Une Jahja,5,2023-04-20 08:44:57,Mantap
Dedi Aja,1,2023-04-18 01:30:52,Musik
ade Yugas,5,2023-04-12 19:47:06,Ok!!!
Agung Rioki,1,2023-04-12 00:46:41,Apk kontl ga guna
ERY WITARTO,5,2023-04-09 18:42:57,Bagus
Agung Pujiono,4,2023-04-09 18:23:08,Pertama kalinya moga bisa tepat guna
Ratna Cantik,5,2023-04-08 03:41:06,Bgus
IR Yt,5,2023-04-07 11:58:17,Nice
Pitalis Herianto,5,2023-04-06 20:18:47,Kalau kalian pengguna android ya wajarlah kalau kualitas suaranya jelek...bukan karena aplikasinya tapi karena HP nya minta diupgrade...hahaha
fake akun,1,2023-04-06 10:01:50,Good
Rachmat Sugianto Darmawan,5,2023-04-02 22:46:08,Ok
MULYADI,5,2023-04-02 03:56:13,Mantap
pipit dotcom,1,2023-04-01 12:04:25,Jangan download ini
Arief Sugiharto,5,2023-03-27 21:48:31,the best
Dera Apriasti fitriany,4,2023-03-27 00:40:12,Oke la yaw
Gus Aguswaluyodarsono,5,2023-03-26 22:45:07,Bagus
Riki Dwinata,5,2023-03-26 21:28:02,yaaa bagus bngt si menurut gw
Rawas Smk,5,2023-03-26 07:10:50,Keren to 😎😎😎😎😎😎🙏
Rafiq Muktasim,5,2023-03-24 13:10:38,the best music platform.
Ruby Khubil,5,2023-03-23 20:25:01,iya ok
Dami Tatimio,4,2023-03-23 18:41:57,Percobaan
Djarco Budiman,5,2023-03-23 14:23:53,Aplikasi ini harus pengguna iPhone
Reyhan Aditiya,1,2023-03-19 08:57:30,Pendaftaran dan pembayaran akun paling susah dan ribet
Domino,1,2023-03-18 01:02:05,Jelek
1306,5,2023-03-17 18:50:33,💕
Ahmad Baihakki,5,2023-03-15 19:47:42,Gw kira geratis ternyata bayar wkwk
kimusky,5,2023-03-13 21:50:45,"Buat yang asal komen ""rugi donlot hrs berbayar bla bla"" makanya sebelum download cari tahu dulu applikasinya seperti apa, klo emg mampunya gratisan mendingan jangan download apple music. dan memang app ini dikhususkan yg punya icloud jadi wajar kebanyakan user apple yg bisa make. Jadilah user yg SMART."
Fitrah Ramadhan,1,2023-03-13 16:58:33,Versi 4.0.0 bug bug bug bug bug bug bug
Tatang Rukmana,5,2023-03-12 16:03:07,Sangat cocok
Richard pocerattu,5,2023-03-10 19:21:05,mantap
Sergio Gavriel,1,2023-03-06 14:35:29,Buruk jelek banget pokoknya jelek
Adhan X8,5,2023-02-24 00:31:35,Please support android wear or galaxy watch sync build in
TEGUH MUHAMMAD HASBI ASSIDIQ,5,2023-02-22 09:10:35,Semoga nggak lama masuk ke Apple music nya semangat terus good job
